,loan_amnt,grade,issue_d,purpose,last_pymnt_d
103,8000,B,Dec-18,credit_card,Feb-19
104,30000,D,Dec-18,debt_consolidation,Feb-19
105,6000,C,Dec-18,credit_card,Feb-19
106,5000,B,Dec-18,debt_consolidation,Feb-19
107,10000,C,Dec-18,debt_consolidation,Feb-19
108,20000,C,Dec-18,other,Feb-19
109,22650,B,Dec-18,home_improvement,Feb-19
110,10000,B,Dec-18,debt_consolidation,Feb-19
111,24000,B,Dec-18,debt_consolidation,Feb-19
112,4000,D,Dec-18,debt_consolidation,Feb-19
113,30000,C,Dec-18,debt_consolidation,Feb-19
114,11000,C,Dec-18,debt_consolidation,Feb-19
115,24000,C,Dec-18,credit_card,Feb-19
116,18000,B,Dec-18,debt_consolidation,Feb-19
117,18000,A,Dec-18,debt_consolidation,Feb-19
118,5525,C,Dec-18,car,Feb-19
119,2525,C,Dec-18,credit_card,Feb-19
120,32000,C,Dec-18,home_improvement,Feb-19
121,16000,E,Dec-18,debt_consolidation,Feb-19
122,16000,C,Dec-18,debt_consolidation,Feb-19
123,18500,B,Dec-18,credit_card,Feb-19
124,3000,B,Dec-18,credit_card,Feb-19
125,23000,D,Dec-18,debt_consolidation,Feb-19
126,1500,D,Dec-18,other,Feb-19
127,24000,B,Dec-18,debt_consolidation,Feb-19
128,5000,C,Dec-18,credit_card,Feb-19
129,25000,B,Dec-18,debt_consolidation,Feb-19
130,2500,D,Dec-18,other,Feb-19
131,12000,C,Dec-18,debt_consolidation,Feb-19
132,9600,E,Dec-18,small_business,Feb-19
133,10000,B,Dec-18,other,Feb-19
134,7000,C,Dec-18,debt_consolidation,Feb-19
135,8000,E,Dec-18,other,Feb-19
136,5000,C,Dec-18,other,Feb-19
137,10000,B,Dec-18,debt_consolidation,Feb-19
138,8000,B,Dec-18,credit_card,Feb-19
139,4000,D,Dec-18,major_purchase,Feb-19
140,24000,B,Dec-18,debt_consolidation,Feb-19
141,25000,C,Dec-18,debt_consolidation,Feb-19
142,3000,D,Dec-18,other,Feb-19
143,35000,D,Dec-18,debt_consolidation,Feb-19
144,8800,C,Dec-18,debt_consolidation,Feb-19
145,10500,B,Dec-18,debt_consolidation,Feb-19
146,25000,C,Dec-18,credit_card,Feb-19
147,5500,B,Dec-18,debt_consolidation,Feb-19
148,12000,C,Dec-18,debt_consolidation,Feb-19
149,8500,C,Dec-18,home_improvement,Feb-19
150,35000,D,Dec-18,other,Feb-19
151,8250,D,Dec-18,debt_consolidation,Feb-19
152,40000,C,Dec-18,credit_card,Feb-19
153,20000,B,Dec-18,debt_consolidation,Feb-19
154,18000,A,Dec-18,debt_consolidation,Feb-19
155,11000,C,Dec-18,debt_consolidation,Feb-19
156,12000,C,Dec-18,credit_card,Feb-19
157,15000,C,Dec-18,credit_card,Feb-19
158,4000,C,Dec-18,home_improvement,Feb-19
159,32000,B,Dec-18,debt_consolidation,Feb-19
160,15000,C,Dec-18,debt_consolidation,Feb-19
161,18000,C,Dec-18,debt_consolidation,Feb-19
162,13000,D,Dec-18,home_improvement,Feb-19
163,10000,C,Dec-18,debt_consolidation,Feb-19
164,3600,B,Dec-18,other,Feb-19
165,22000,B,Dec-18,credit_card,Feb-19
166,10450,D,Dec-18,debt_consolidation,Feb-19
167,10000,B,Dec-18,credit_card,Feb-19
168,10000,D,Dec-18,other,Feb-19
169,5000,B,Dec-18,debt_consolidation,Feb-19
170,20000,A,Dec-18,credit_card,Feb-19
171,17100,D,Dec-18,debt_consolidation,Feb-19
172,10475,B,Dec-18,debt_consolidation,Feb-19
173,10000,E,Dec-18,debt_consolidation,Feb-19
174,7500,B,Dec-18,debt_consolidation,Feb-19
175,4000,B,Dec-18,credit_card,Feb-19
176,15400,C,Dec-18,debt_consolidation,Feb-19
177,35000,C,Dec-18,credit_card,Feb-19
178,30000,E,Dec-18,debt_consolidation,Feb-19
179,16800,D,Dec-18,debt_consolidation,Feb-19
180,25000,C,Dec-18,debt_consolidation,Feb-19
181,10000,C,Dec-18,credit_card,Feb-19
182,20000,B,Dec-18,debt_consolidation,Feb-19
183,35000,C,Dec-18,debt_consolidation,Feb-19
184,4000,D,Dec-18,other,Feb-19
185,10000,C,Dec-18,debt_consolidation,Feb-19
186,4500,B,Dec-18,credit_card,Feb-19
187,14000,E,Dec-18,debt_consolidation,Feb-19
188,6500,B,Dec-18,debt_consolidation,Feb-19
189,29625,C,Dec-18,debt_consolidation,Feb-19
190,16000,E,Dec-18,debt_consolidation,Feb-19
191,12000,C,Dec-18,credit_card,Feb-19
192,35000,C,Dec-18,debt_consolidation,Feb-19
193,30000,E,Dec-18,debt_consolidation,Feb-19
194,16000,C,Dec-18,other,Feb-19
195,24000,C,Dec-18,credit_card,Feb-19
196,14000,C,Dec-18,other,Feb-19
197,40000,B,Dec-18,debt_consolidation,Feb-19
198,24000,E,Dec-18,debt_consolidation,Feb-19
199,28000,B,Dec-18,credit_card,Feb-19
200,7075,E,Dec-18,debt_consolidation,Feb-19
201,1000,E,Dec-18,debt_consolidation,Feb-19
202,5400,C,Dec-18,credit_card,Feb-19
203,10000,D,Dec-18,credit_card,Feb-19
204,10000,C,Dec-18,credit_card,Feb-19
205,25000,C,Dec-18,debt_consolidation,Feb-19
206,6000,A,Dec-18,credit_card,Feb-19
207,7000,B,Dec-18,debt_consolidation,Feb-19
208,30000,B,Dec-18,debt_consolidation,Feb-19
209,5000,C,Dec-18,other,Feb-19
210,15000,C,Dec-18,home_improvement,Feb-19
211,15000,C,Dec-18,debt_consolidation,Feb-19
212,20000,C,Dec-18,debt_consolidation,Feb-19
213,20400,B,Dec-18,debt_consolidation,Feb-19
214,20000,B,Dec-18,debt_consolidation,Feb-19
215,8425,E,Dec-18,credit_card,Feb-19
216,21000,C,Dec-18,house,Feb-19
217,10000,C,Dec-18,debt_consolidation,Feb-19
218,15000,C,Dec-18,home_improvement,Feb-19
219,24000,C,Dec-18,debt_consolidation,Feb-19
220,15000,C,Dec-18,debt_consolidation,Feb-19
221,5000,B,Dec-18,credit_card,Feb-19
222,30000,D,Dec-18,debt_consolidation,Feb-19
223,35000,D,Dec-18,debt_consolidation,Feb-19
224,3000,B,Dec-18,credit_card,Feb-19
225,1000,A,Dec-18,credit_card,Feb-19
226,10000,C,Dec-18,debt_consolidation,Feb-19
227,5000,B,Dec-18,credit_card,Feb-19
228,16500,D,Dec-18,debt_consolidation,Feb-19
229,6000,C,Dec-18,debt_consolidation,Feb-19
230,35000,B,Dec-18,debt_consolidation,Feb-19
231,34575,D,Dec-18,home_improvement,Feb-19
232,1200,D,Dec-18,vacation,Feb-19
233,9600,B,Dec-18,home_improvement,Feb-19
234,4800,C,Dec-18,credit_card,Feb-19
235,5000,D,Dec-18,debt_consolidation,Feb-19
236,10000,B,Dec-18,credit_card,Feb-19
237,7500,B,Dec-18,debt_consolidation,Feb-19
238,16000,D,Dec-18,debt_consolidation,Feb-19
239,7200,E,Dec-18,debt_consolidation,Feb-19
240,27975,C,Dec-18,credit_card,Feb-19
241,16000,C,Dec-18,credit_card,Feb-19
242,15000,B,Dec-18,debt_consolidation,Feb-19
243,9000,B,Dec-18,credit_card,Feb-19
244,1000,D,Dec-18,debt_consolidation,Feb-19
245,28000,C,Dec-18,credit_card,Feb-19
246,10000,B,Dec-18,major_purchase,Feb-19
247,25000,C,Dec-18,credit_card,Feb-19
248,23000,B,Dec-18,debt_consolidation,Feb-19
249,25000,B,Dec-18,debt_consolidation,Feb-19
250,15000,A,Dec-18,credit_card,Feb-19
251,35000,D,Dec-18,other,Feb-19
252,5000,A,Dec-18,debt_consolidation,Feb-19
253,35000,A,Dec-18,credit_card,Feb-19
254,30000,C,Dec-18,credit_card,Feb-19
255,6600,A,Dec-18,debt_consolidation,Feb-19
256,20300,B,Dec-18,other,Feb-19
257,4000,D,Dec-18,debt_consolidation,Feb-19
258,10000,A,Dec-18,home_improvement,Feb-19
259,21000,D,Dec-18,debt_consolidation,Feb-19
260,10000,B,Dec-18,debt_consolidation,Feb-19
261,3000,A,Dec-18,home_improvement,Feb-19
262,8000,B,Dec-18,debt_consolidation,Feb-19
263,1000,E,Dec-18,credit_card,Feb-19
264,5100,A,Dec-18,credit_card,Feb-19
265,4000,C,Dec-18,medical,Feb-19
266,35000,D,Dec-18,home_improvement,Feb-19
267,4000,A,Dec-18,other,Feb-19
268,10000,A,Dec-18,debt_consolidation,Feb-19
269,20000,D,Dec-18,debt_consolidation,Jan-19
270,22000,B,Dec-18,debt_consolidation,Feb-19
271,6600,B,Dec-18,credit_card,Jan-19
272,3000,C,Dec-18,vacation,Feb-19
273,35000,D,Dec-18,debt_consolidation,Feb-19
274,5000,D,Dec-18,debt_consolidation,Feb-19
275,6025,C,Dec-18,credit_card,Feb-19
276,21600,A,Dec-18,debt_consolidation,Feb-19
277,7000,D,Dec-18,home_improvement,Feb-19
278,10000,B,Dec-18,debt_consolidation,Feb-19
279,18000,C,Dec-18,debt_consolidation,Feb-19
280,15000,D,Dec-18,debt_consolidation,Feb-19
281,7000,B,Dec-18,credit_card,Feb-19
282,4500,B,Dec-18,debt_consolidation,Feb-19
283,5000,A,Dec-18,credit_card,Feb-19
284,10000,A,Dec-18,credit_card,Feb-19
285,6000,A,Dec-18,other,Feb-19
286,16000,A,Dec-18,credit_card,Feb-19
287,4500,B,Dec-18,other,Feb-19
288,5000,D,Dec-18,medical,Feb-19
289,10000,B,Dec-18,credit_card,Feb-19
290,17425,D,Dec-18,debt_consolidation,Feb-19
291,10000,C,Dec-18,other,Feb-19
292,2000,C,Dec-18,credit_card,Feb-19
293,5000,B,Dec-18,debt_consolidation,Feb-19
294,1300,A,Dec-18,credit_card,Feb-19
295,20000,C,Dec-18,debt_consolidation,Feb-19
296,2500,C,Dec-18,other,Jan-19
297,5000,B,Dec-18,renewable_energy,Feb-19
298,6000,A,Dec-18,debt_consolidation,Feb-19
299,36000,B,Dec-18,credit_card,Feb-19
300,16000,B,Dec-18,debt_consolidation,Feb-19
301,16000,D,Dec-18,debt_consolidation,Feb-19
302,8000,B,Dec-18,credit_card,Feb-19
303,2200,D,Dec-18,debt_consolidation,Feb-19
304,7000,C,Dec-18,debt_consolidation,Feb-19
305,10000,B,Dec-18,debt_consolidation,Feb-19
306,14000,C,Dec-18,credit_card,Feb-19
307,10000,C,Dec-18,home_improvement,Feb-19
308,8000,A,Dec-18,debt_consolidation,Feb-19
309,8000,A,Dec-18,debt_consolidation,Feb-19
310,30000,A,Dec-18,credit_card,Feb-19
311,15000,C,Dec-18,major_purchase,Feb-19
312,16000,C,Dec-18,credit_card,Feb-19
313,32500,A,Dec-18,debt_consolidation,Feb-19
314,8400,C,Dec-18,credit_card,Feb-19
315,20000,D,Dec-18,debt_consolidation,Feb-19
316,23000,C,Dec-18,credit_card,Feb-19
317,4800,B,Dec-18,debt_consolidation,Feb-19
318,40000,A,Dec-18,credit_card,Feb-19
319,3600,B,Dec-18,debt_consolidation,Feb-19
320,36950,B,Dec-18,debt_consolidation,Feb-19
321,15000,A,Dec-18,credit_card,Feb-19
322,16800,B,Dec-18,debt_consolidation,Feb-19
323,13000,A,Dec-18,debt_consolidation,Feb-19
324,31200,B,Dec-18,credit_card,Feb-19
325,25000,C,Dec-18,home_improvement,Feb-19
326,30800,B,Dec-18,credit_card,Feb-19
327,16000,A,Dec-18,credit_card,Feb-19
328,3600,C,Dec-18,debt_consolidation,Feb-19
329,30000,A,Dec-18,major_purchase,Feb-19
330,1000,E,Dec-18,vacation,Feb-19
331,16000,A,Dec-18,home_improvement,Feb-19
332,16800,B,Dec-18,credit_card,Feb-19
333,6500,B,Dec-18,debt_consolidation,Feb-19
334,6500,A,Dec-18,credit_card,Feb-19
335,12000,B,Dec-18,debt_consolidation,Feb-19
336,11500,A,Dec-18,credit_card,Feb-19
337,40000,A,Dec-18,debt_consolidation,Feb-19
338,31000,C,Dec-18,debt_consolidation,Feb-19
339,20000,D,Dec-18,debt_consolidation,Feb-19
340,21000,C,Dec-18,debt_consolidation,Feb-19
341,10000,E,Dec-18,debt_consolidation,Feb-19
342,8400,A,Dec-18,credit_card,Feb-19
343,30000,B,Dec-18,debt_consolidation,Feb-19
344,1600,A,Dec-18,credit_card,Feb-19
345,13000,D,Dec-18,debt_consolidation,Feb-19
346,25000,B,Dec-18,debt_consolidation,Feb-19
347,12000,E,Dec-18,credit_card,Feb-19
348,2000,C,Dec-18,debt_consolidation,Feb-19
349,24000,B,Dec-18,credit_card,Feb-19
350,13000,A,Dec-18,debt_consolidation,Feb-19
351,15000,A,Dec-18,credit_card,Feb-19
352,18000,B,Dec-18,debt_consolidation,Feb-19
353,23000,C,Dec-18,debt_consolidation,Feb-19
354,12000,D,Dec-18,debt_consolidation,Feb-19
355,15000,C,Dec-18,credit_card,Feb-19
356,30000,D,Dec-18,debt_consolidation,Feb-19
357,20000,A,Dec-18,credit_card,Feb-19
358,14425,B,Dec-18,other,Feb-19
359,36425,B,Dec-18,debt_consolidation,Feb-19
360,5000,C,Dec-18,debt_consolidation,Feb-19
361,6000,A,Dec-18,credit_card,Feb-19
362,20000,B,Dec-18,home_improvement,Feb-19
363,12500,B,Dec-18,debt_consolidation,Feb-19
364,18000,B,Dec-18,credit_card,Feb-19
365,3000,A,Dec-18,debt_consolidation,Feb-19
366,3000,A,Dec-18,home_improvement,Feb-19
367,18000,A,Dec-18,home_improvement,Feb-19
368,10000,B,Dec-18,other,Feb-19
369,4000,D,Dec-18,house,Feb-19
370,20000,C,Dec-18,debt_consolidation,Feb-19
371,21600,A,Dec-18,debt_consolidation,Feb-19
372,5000,A,Dec-18,debt_consolidation,Feb-19
373,10000,B,Dec-18,credit_card,Feb-19
374,15600,B,Dec-18,home_improvement,Feb-19
375,19200,D,Dec-18,credit_card,Feb-19
376,9375,C,Dec-18,credit_card,Feb-19
377,10000,B,Dec-18,credit_card,Feb-19
378,4000,A,Dec-18,debt_consolidation,Feb-19
379,2700,A,Dec-18,credit_card,Jan-19
380,12000,B,Dec-18,debt_consolidation,Feb-19
381,16000,C,Dec-18,medical,Feb-19
382,35000,C,Dec-18,debt_consolidation,Feb-19
383,3000,A,Dec-18,credit_card,Feb-19
384,10000,D,Dec-18,debt_consolidation,Feb-19
385,15450,B,Dec-18,credit_card,Feb-19
386,40000,A,Dec-18,major_purchase,Feb-19
387,7500,A,Dec-18,debt_consolidation,Feb-19
388,20500,B,Dec-18,credit_card,Feb-19
389,4500,D,Dec-18,home_improvement,Feb-19
390,19000,B,Dec-18,debt_consolidation,Feb-19
391,34800,C,Dec-18,debt_consolidation,Feb-19
392,25000,B,Dec-18,debt_consolidation,Feb-19
393,11000,B,Dec-18,debt_consolidation,Feb-19
394,20075,D,Dec-18,debt_consolidation,Feb-19
395,28000,C,Dec-18,debt_consolidation,Feb-19
396,15000,D,Dec-18,credit_card,Feb-19
397,12000,A,Dec-18,debt_consolidation,Feb-19
398,4000,D,Dec-18,credit_card,Feb-19
399,5000,A,Dec-18,home_improvement,Feb-19
400,6025,D,Dec-18,credit_card,Feb-19
401,24000,B,Dec-18,debt_consolidation,Feb-19
402,1000,E,Dec-18,debt_consolidation,Feb-19
403,5000,C,Dec-18,credit_card,Feb-19
404,19375,C,Dec-18,major_purchase,Feb-19
405,15000,B,Dec-18,credit_card,Feb-19
406,14400,C,Dec-18,debt_consolidation,Feb-19
407,22500,C,Dec-18,debt_consolidation,Feb-19
408,15000,A,Dec-18,debt_consolidation,Feb-19
409,20000,A,Dec-18,debt_consolidation,Feb-19
410,15000,A,Dec-18,debt_consolidation,Feb-19
411,10000,D,Dec-18,debt_consolidation,Feb-19
412,15000,A,Dec-18,house,Jan-19
413,9600,A,Dec-18,home_improvement,Feb-19
414,10000,B,Dec-18,credit_card,Feb-19
415,12000,B,Dec-18,debt_consolidation,Feb-19
416,20000,C,Dec-18,debt_consolidation,Feb-19
417,24000,A,Dec-18,debt_consolidation,Feb-19
418,9000,B,Dec-18,debt_consolidation,Feb-19
419,10000,A,Dec-18,debt_consolidation,Feb-19
420,12000,A,Dec-18,debt_consolidation,Feb-19
421,10000,B,Dec-18,credit_card,Feb-19
422,28000,A,Dec-18,debt_consolidation,Feb-19
423,7000,A,Dec-18,debt_consolidation,Feb-19
424,40000,B,Dec-18,small_business,Feb-19
425,16000,A,Dec-18,debt_consolidation,Feb-19
426,12000,C,Dec-18,debt_consolidation,Feb-19
427,10000,A,Dec-18,credit_card,Feb-19
428,13000,B,Dec-18,major_purchase,Feb-19
429,40000,A,Dec-18,debt_consolidation,Feb-19
430,15000,C,Dec-18,debt_consolidation,Feb-19
431,25000,C,Dec-18,debt_consolidation,Feb-19
432,11000,A,Dec-18,debt_consolidation,Feb-19
433,12000,C,Dec-18,debt_consolidation,Feb-19
434,15000,A,Dec-18,credit_card,Feb-19
435,38000,B,Dec-18,debt_consolidation,Feb-19
436,10000,A,Dec-18,debt_consolidation,Feb-19
437,7000,B,Dec-18,debt_consolidation,Feb-19
438,25000,D,Dec-18,debt_consolidation,Feb-19
439,10500,A,Dec-18,credit_card,Feb-19
440,20000,C,Dec-18,debt_consolidation,Feb-19
441,6600,B,Dec-18,debt_consolidation,Feb-19
442,40000,B,Dec-18,home_improvement,Feb-19
443,16000,A,Dec-18,credit_card,Feb-19
444,10000,E,Dec-18,debt_consolidation,Feb-19
445,8000,A,Dec-18,other,Feb-19
446,40000,B,Dec-18,debt_consolidation,Feb-19
447,40000,C,Dec-18,home_improvement,Feb-19
448,3000,C,Dec-18,debt_consolidation,Feb-19
449,40000,A,Dec-18,credit_card,Feb-19
450,8000,D,Dec-18,home_improvement,Feb-19
451,13000,B,Dec-18,debt_consolidation,Feb-19
452,10000,B,Dec-18,credit_card,Feb-19
453,40000,A,Dec-18,debt_consolidation,Feb-19
454,19200,B,Dec-18,credit_card,Feb-19
455,4000,C,Dec-18,small_business,Feb-19
456,16000,A,Dec-18,debt_consolidation,Feb-19
457,16000,A,Dec-18,debt_consolidation,Feb-19
458,8250,B,Dec-18,debt_consolidation,Feb-19
459,40000,A,Dec-18,other,Feb-19
460,3000,E,Dec-18,small_business,Feb-19
461,3125,A,Dec-18,credit_card,Feb-19
462,21000,A,Dec-18,debt_consolidation,Feb-19
463,12000,C,Dec-18,credit_card,Feb-19
464,10000,A,Dec-18,credit_card,Feb-19
465,16000,B,Dec-18,debt_consolidation,Feb-19
466,25000,D,Dec-18,debt_consolidation,Feb-19
467,20000,B,Dec-18,credit_card,Feb-19
468,11025,B,Dec-18,credit_card,Feb-19
469,18400,C,Dec-18,credit_card,Feb-19
470,2200,E,Dec-18,debt_consolidation,Feb-19
471,12000,A,Dec-18,debt_consolidation,Feb-19
472,40000,B,Dec-18,debt_consolidation,Feb-19
473,22950,B,Dec-18,debt_consolidation,Feb-19
474,16000,C,Dec-18,home_improvement,Feb-19
475,40000,A,Dec-18,debt_consolidation,Feb-19
476,15000,B,Dec-18,home_improvement,Feb-19
477,15000,B,Dec-18,debt_consolidation,Feb-19
478,10000,B,Dec-18,debt_consolidation,Feb-19
479,20000,C,Dec-18,debt_consolidation,Feb-19
480,4000,A,Dec-18,home_improvement,Feb-19
481,10000,C,Dec-18,major_purchase,Feb-19
482,10000,C,Dec-18,credit_card,Feb-19
483,16000,B,Dec-18,debt_consolidation,Feb-19
484,2000,D,Dec-18,other,Feb-19
485,35000,D,Dec-18,debt_consolidation,Feb-19
486,20000,A,Dec-18,major_purchase,Feb-19
487,28000,D,Dec-18,debt_consolidation,Feb-19
488,24000,A,Dec-18,debt_consolidation,Feb-19
489,15000,A,Dec-18,credit_card,Feb-19
490,10000,B,Dec-18,debt_consolidation,Feb-19
491,20000,A,Dec-18,debt_consolidation,Feb-19
492,9000,B,Dec-18,debt_consolidation,Feb-19
493,11000,B,Dec-18,debt_consolidation,Feb-19
494,15000,A,Dec-18,credit_card,Feb-19
495,21000,B,Dec-18,debt_consolidation,Feb-19
496,20000,A,Dec-18,credit_card,Feb-19
497,40000,B,Dec-18,debt_consolidation,Feb-19
498,35000,A,Dec-18,credit_card,Feb-19
499,19000,B,Dec-18,debt_consolidation,Feb-19
500,6000,D,Dec-18,car,Feb-19
501,7150,C,Dec-18,debt_consolidation,Feb-19
502,27200,D,Dec-18,debt_consolidation,Feb-19
503,27500,C,Dec-18,small_business,Feb-19
504,7800,C,Dec-18,debt_consolidation,Feb-19
505,15000,A,Dec-18,credit_card,Feb-19
506,23000,A,Dec-18,debt_consolidation,Feb-19
507,8000,A,Dec-18,debt_consolidation,Feb-19
508,20000,A,Dec-18,debt_consolidation,Feb-19
509,12000,C,Dec-18,debt_consolidation,Feb-19
510,5000,A,Dec-18,credit_card,Jan-19
511,8000,B,Dec-18,debt_consolidation,Feb-19
512,25000,E,Dec-18,house,Feb-19
513,25000,B,Dec-18,debt_consolidation,Feb-19
514,14225,E,Dec-18,debt_consolidation,Feb-19
515,22000,B,Dec-18,debt_consolidation,Feb-19
516,15400,D,Dec-18,debt_consolidation,Feb-19
517,2500,E,Dec-18,debt_consolidation,Feb-19
518,10000,A,Dec-18,debt_consolidation,Feb-19
519,20000,B,Dec-18,debt_consolidation,Feb-19
520,4800,B,Dec-18,credit_card,Feb-19
521,7000,B,Dec-18,debt_consolidation,Feb-19
522,22400,B,Dec-18,debt_consolidation,Feb-19
523,6000,B,Dec-18,credit_card,Feb-19
524,4800,C,Dec-18,home_improvement,Feb-19
525,20000,A,Dec-18,debt_consolidation,Feb-19
526,16000,A,Dec-18,credit_card,Feb-19
527,30000,B,Dec-18,debt_consolidation,Feb-19
528,18000,A,Dec-18,debt_consolidation,Feb-19
529,30000,D,Dec-18,credit_card,Feb-19
530,15000,A,Dec-18,debt_consolidation,Feb-19
531,20000,B,Dec-18,credit_card,Feb-19
532,2200,D,Dec-18,other,Feb-19
533,21600,C,Dec-18,debt_consolidation,Feb-19
534,18000,A,Dec-18,medical,Feb-19
535,6000,C,Dec-18,credit_card,Feb-19
536,5000,C,Dec-18,debt_consolidation,Feb-19
537,14000,A,Dec-18,credit_card,Feb-19
538,16000,A,Dec-18,home_improvement,Feb-19
539,11000,C,Dec-18,major_purchase,Feb-19
540,40000,C,Dec-18,debt_consolidation,Feb-19
541,40000,B,Dec-18,credit_card,Feb-19
542,20000,C,Dec-18,debt_consolidation,Feb-19
543,12000,A,Dec-18,debt_consolidation,Feb-19
544,3000,B,Dec-18,vacation,Feb-19
545,20000,B,Dec-18,credit_card,Feb-19
546,5000,B,Dec-18,credit_card,Feb-19
547,11000,A,Dec-18,debt_consolidation,Feb-19
